locationid	Applicant	FacilityType	cnn	LocationDescription	Address	blocklot	block	lot	permit	Status	FoodItems	X	Y	Latitude	Longitude	Schedule	dayshours	NOISent	Approved	Received	PriorPermit	ExpirationDate	Location
526128	Bach Catering	Truck	5118000	EGBERT AVE: NEWHALL ST to PHELPS ST (1800 - 1899)	1828 EGBERT AVE	5434B005	5434B	5	14MFF-0034	EXPIRED	Cold Truck: Cheeseburgers: Burgers: Chicken Bake: Chili Dogs: Hot Dogs: Corn Dogs: Cup of Noodles: Egg Muffins: Tamales: Hot Sandwiches Quesadillas: Gatorade: Juice: Soda: Mikl: Coffee: Hot Cocoa: Hot Tea: Flan: Fruits: Fruit Salad: Yogurt: Candy: Chips:  Donuts: Cookies: Granola: Muffins & Various Drinks & Pre-Packaged Snacks.	6012179.37	2092973.822	37.7275936	-122.4001172	http://bsm.sfdpw.org/PermitsTracker/reports/report.aspx?title=schedule&report=rptSchedule&params=permit=14MFF-0034&ExportPDF=1&Filename=14MFF-0034_schedule.pdf	Mo-Fr:10AM-11AM		03/13/2014 12:00:00 AM	2014-03-13	1	03/15/2015 12:00:00 AM	(37.7275936019207, -122.400117226063)
639666	Afghani Rice	Push Cart	5057000	EDDY ST: POWELL ST to CYRIL MAGNIN ST (1 - 49)	1 POWELL ST	330027	330	27	15MFF-0115	REQUESTED	Rice - Chicken & Beef: sauce: cold drinks: hot drinks	6010285.677	2113807.831	37.78469337	-122.4081325	http://bsm.sfdpw.org/PermitsTracker/reports/report.aspx?title=schedule&report=rptSchedule&params=permit=15MFF-0115&ExportPDF=1&Filename=15MFF-0115_schedule.pdf	Th/Fr/Sa:11AM-3PM			2015-04-07	0	03/15/2016 12:00:00 AM	(37.7846933678258, -122.40813248678)
519938	Bob Johnson	Truck	0		Assessors Block 0733/Lot010	733010	733	10	14MFF-0009	EXPIRED	Watermelon	6003818.547	2113011.835	37.78214353	-122.4304498	http://bsm.sfdpw.org/PermitsTracker/reports/report.aspx?title=schedule&report=rptSchedule&params=permit=14MFF-0009&ExportPDF=1&Filename=14MFF-0009_schedule.pdf	Mo-Su:10AM-7PM		02/25/2014 12:00:00 AM	2014-02-25	1	03/15/2015 12:00:00 AM	(37.782143532929, -122.430449785949)
634197	Smokin Warehouse Barbecue	Truck	2767000	BATTERY ST: UNION ST to FILBERT ST (1100 - 1199)	1155 BATTERY ST	0107 007	107	7	15MFF-0105	REQUESTED	BBQ Sandwiches: BBQ lunch platters: sides (corn bread: beans: chili: potato salad: coleslaw): water: sodas: energy drinks: housemade iced tea.	6012094.775	2119998.079	37.80179144	-122.402309	http://bsm.sfdpw.org/PermitsTracker/reports/report.aspx?title=schedule&report=rptSchedule&params=permit=15MFF-0105&ExportPDF=1&Filename=15MFF-0105_schedule.pdf	Tu/Th/Fr:11AM-2PM			2015-03-24	0	03/15/2016 12:00:00 AM	(37.8017914435056, -122.402308963297)
526417	The Creme Brulee Cart	Push Cart	8742201	MARKET ST: 01ST ST \ BUSH ST to BATTERY ST (500 - 538) -- NORTH --	532 MARKET ST	290012	290	12	14MFF-0056	EXPIRED	Creme Brulee	6012582.228	2115893.453	37.79054832	-122.4003337	http://bsm.sfdpw.org/PermitsTracker/reports/report.aspx?title=schedule&report=rptSchedule&params=permit=14MFF-0056&ExportPDF=1&Filename=14MFF-0056_schedule.pdf	Mo-Su:11AM-9PM		03/14/2014 12:00:00 AM	2014-03-14	1	03/15/2015 12:00:00 AM	(37.7905483181832, -122.400333673679)
509481	Sun Rise Catering	Truck	5659000	FOLSOM ST: ESSEX ST to 02ND ST (529 - 599)	532 FOLSOM ST	3736 156	3736	156	14MFF-0001	EXPIRED	Cold Truck: sandwiches: drinks: snacks: candy: hot coffee	6013904.786	2114508.166	37.7868183	-122.3956606	http://bsm.sfdpw.org/PermitsTracker/reports/report.aspx?title=schedule&report=rptSchedule&params=permit=14MFF-0001&ExportPDF=1&Filename=14MFF-0001_schedule.pdf	Mo/Tu/We/Th/Fr:10AM-12PM;Mo-Fr:12PM-2PM		09/10/2014 12:00:00 AM	2014-01-08	1	03/15/2015 12:00:00 AM	(37.7868183030362, -122.395660566066)
526090	Del Popolo, LLC.	Truck	8733000	MARIPOSA ST: BRYANT ST to FLORIDA ST (2700 - 2799)	2772 MARIPOSA ST	3970004	3970	4	14MFF-0030	EXPIRED	Wood Fired Pizzas	6009371.839	2106032.5	37.76329292	-122.4107448	http://bsm.sfdpw.org/PermitsTracker/reports/report.aspx?title=schedule&report=rptSchedule&params=permit=14MFF-0030&ExportPDF=1&Filename=14MFF-0030_schedule.pdf	Sa-Su:8AM-11PM;Mo-Fr:5PM-11PM		03/13/2014 12:00:00 AM	2014-03-13	0	03/15/2015 12:00:00 AM	(37.763292918729, -122.41074477293)
509487	Sun Rise Catering	Truck	417000	08TH ST: BRANNAN ST to TOWNSEND ST (600 - 699)	699 08TH ST	3783009	3783	9	14MFF-0001	EXPIRED	Cold Truck: sandwiches: drinks: snacks: candy: hot coffee	6011509.501	2108803.834	37.771022	-122.4035463	http://bsm.sfdpw.org/PermitsTracker/reports/report.aspx?title=schedule&report=rptSchedule&params=permit=14MFF-0001&ExportPDF=1&Filename=14MFF-0001_schedule.pdf	Mo/Tu/We/Th/Fr:8AM-9AM		09/10/2014 12:00:00 AM	2014-01-08	1	03/15/2015 12:00:00 AM	(37.7710219992437, -122.403546254184)
526150	Cheese Gone Wild	Truck	4609000	DAVIS ST: DAVIS CT \ JACKSON ST to BROADWAY (500 - 699)		167010	167	10	14MFF-0035	EXPIRED	Grilled Cheese Sandwiches	6012974.89	2118691.505	37.79825299	-122.3991716	http://bsm.sfdpw.org/PermitsTracker/reports/report.aspx?title=schedule&report=rptSchedule&params=permit=14MFF-0035&ExportPDF=1&Filename=14MFF-0035_schedule.pdf	We:6AM-3PM;Su:6AM-8PM		03/13/2014 12:00:00 AM	2014-03-13	0	03/15/2015 12:00:00 AM	(37.7982529941715, -122.399171569524)
526129	Bach Catering	Truck	2709000	BANCROFT AVE: INGALLS ST to JENNINGS ST (1400 - 1499)	1455 BANCROFT AVE	4879022	4879	22	14MFF-0034	EXPIRED	Cold Truck: Cheeseburgers: Burgers: Chicken Bake: Chili Dogs: Hot Dogs: Corn Dogs: Cup of Noodles: Egg Muffins: Tamales: Hot Sandwiches Quesadillas: Gatorade: Juice: Soda: Mikl: Coffee: Hot Cocoa: Hot Tea: Flan: Fruits: Fruit Salad: Yogurt: Candy: Chips:  Donuts: Cookies: Granola: Muffins & Various Drinks & Pre-Packaged Snacks.	6014981.941	2091509.43	37.72372854	-122.3903264	http://bsm.sfdpw.org/PermitsTracker/reports/report.aspx?title=schedule&report=rptSchedule&params=permit=14MFF-0034&ExportPDF=1&Filename=14MFF-0034_schedule.pdf	Mo-Fr:10AM-11AM		03/13/2014 12:00:00 AM	2014-03-13	1	03/15/2015 12:00:00 AM	(37.723728538541, -122.390326357762)
